App,NumThreads,NumElements,L1DCacheOverall,L1DCacheMiss,L2CacheOverall,L2CacheMiss,L3CacheOverall,L3CacheMiss,NumIterations,RunType
CacheMisses,0,2400000,1.004,1.003,2.024,1.011,1.96,0.971,1000,0
CacheMisses,0,2621440,1.004,1.002,2.015,1.004,1.919,0.99,1000,0
CacheMisses,0,3145728,1.003,1.002,2.017,1.004,1.922,0.99,1000,0
CacheMisses,0,4194304,1.003,1.003,2.017,1.002,1.906,1,1000,0
CacheMisses,0,6000000,1.003,1.002,2.018,1.005,1.935,0.996,1000,0
CacheMisses,0,8388608,1.003,1.001,2.015,1.003,1.919,1.002,1000,0
CacheMisses,0,10000000,1.004,1.003,2.021,1.006,1.936,1.004,1000,0
CacheMisses,0,13000000,1.004,1.003,2.02,1.004,1.908,1.004,1000,0
CacheMisses,0,16777216,1.004,1.002,2.017,1.004,1.933,1.002,1000,0
CacheMisses,0,20000000,1.004,0.999,2.02,1.006,1.927,1.003,1000,0
CacheMisses,0,25000000,1.004,1.003,2.018,1.007,1.941,1.004,1000,0
CacheMisses,0,33554432,1.003,1.001,2.019,1.005,1.922,1.002,1000,0
CacheMisses,0,40000000,1.004,1.003,2.017,1.005,1.935,1.003,1000,0
CacheMisses,0,45000000,1.004,1.002,2.018,1.005,1.932,1.003,1000,0
CacheMisses,0,50000000,1.004,1.003,2.018,1.004,1.927,1.003,1000,0
CacheMisses,0,67108864,1.004,1.002,2.018,1.006,1.931,1.003,1000,0
